Group,B,P/B,Q/B,Diet
SeaBirds,0.8,0.7,0.8,0.8
Pinnipeds,0.8,0.5,0.7,0.8
BaleenWhales,0.5,0.7,0.8,0.8
Odontocetes,0.5,0.7,0.8,0.8
HMS,0.8,0.5,0.7,0.8
Sharks,0.8,0.7,0.7,0.8
AtlHerring,0.8,0.8,0.5,0.4
AtlMackerel,0.8,0.6,0.2,0.8
RiverHerring,0.8,0.5,0.8,0.4
Butterfish,0.8,0.5,0.5,0.4
SmPelagics,0.8,0.8,0.8,0.8
Mesopelagics,0.8,0.8,0.8,0.8
OtherPelagics,0.8,0.8,0.8,0.8
Cod,0.4,0.5,0.5,0.8
Haddock,0.2,0.5,0.5,0.8
Goosefish,0.2,0.8,0.8,0.8
SilverHake,0.8,0.8,0.8,0.8
RedHake,0.8,0.4,0.4,0.8
WhiteHake,0.3,0.8,0.8,0.8
Redfish,0.8,0.8,0.6,0.4
Pollock,0.3,0.8,0.8,0.8
OceanPout,0.8,0.8,0.8,0.4
BlackSeaBass,0.8,0.8,0.8,0.4
Bluefish,0.4,0.6,0.6,0.6
Scup,0.4,0.6,0.6,0.6
OtherDemersals,0.8,0.8,0.8,0.8
SouthernDemersals,0.8,0.8,0.8,0.8
Fourspot,0.3,0.6,0.8,0.4
SummerFlounder,0.8,0.4,0.4,0.8
AmPlaice,0.8,0.8,0.8,0.4
Windowpane,0.8,0.5,0.5,0.4
WinterFlounder,0.6,0.8,0.8,0.6
WitchFlounder,0.8,0.8,0.8,0.4
YTFlounder,0.3,0.5,0.5,0.4
SmFlatfishes,0.8,0.8,0.8,0.8
SpinyDogfish,0.4,0.8,0.8,0.8
SmoothDogfish,0.2,0.6,0.6,0.4
Barndoor,0.2,0.6,0.6,0.6
WinterSkate,0.2,0.8,0.6,0.4
LittleSkate,0.2,0.8,0.6,0.4
OtherSkates,0.8,0.8,0.8,0.8
Illex,0.8,0.5,0.5,0.4
Loligo,0.3,0.5,0.5,0.8
OtherCephalopods,0.8,0.8,0.8,0.8
AmLobster,0.6,0.5,0.5,0.8
Macrobenthos,0.5,0.5,0.8,0.8
Megabenthos,0.7,0.8,0.8,0.8
AtlScallop,0.4,0.5,0.5,0.8
OceanQuahog,0.4,0.5,0.5,0.8
SurfClam,0.4,0.5,0.5,0.8
OtherShrimps,0.5,0.8,0.8,0.8
Krill,0.5,0.6,0.6,0.7
Micronekton,0.8,0.8,0.8,0.8
GelZooplankton,0.6,0.8,0.8,0.8
Microzooplankton,0.8,0.8,0.8,0.8
Bacteria,0.8,0.8,0.8,0.8
LgCopepods,0.8,0.6,0.7,0.7
SmCopepods,0.8,0.6,0.7,0.7
Phytoplankton,0.5,0.2,0,0
Detritus,0.8,0.8,0.8,0.8
